Date           ,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
26-07-2024,2.00.00 PM,CNR7153255142,Canceled by Driver,CID713523,Prime Sedan,Tumkur Road,RT Nagar,NA,NA,NA,Personal & Car related issue,NA,NA,444,NA,0,0,0
25-07-2024,10.20.00 PM,CNR2940424040,Success,CID225428,Bike,Magadi Road,Varthur,203,30,NA,NA,No,NA,158,Cash,13,4.1,4
30-07-2024,7.59.00 PM,CNR2982357879,Success,CID270156,Prime SUV,Sahakar Nagar,Varthur,238,130,NA,NA,No,NA,386,UPI,40,4.2,4.8
22-07-2024,3.15.00 AM,CNR2395710036,Canceled by Customer,CID581320,eBike,HSR Layout,Vijayanagar,NA,NA,Driver is not moving towards pickup location,NA,NA,NA,384,NA,0,0,0
02-07-2024,9.02.00 AM,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,NA,NA,No,NA,822,Credit Card,45,4,3
13-07-2024,4.42.00 AM,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,NA,NA,No,NA,173,UPI,41,3.4,4.6
23-07-2024,9.51.00 AM,CNR3612067560,Success,CID476071,Bike,Tumkur Road,Whitefield,133,40,NA,NA,No,NA,140,Cash,49,3.2,4.5
11-07-2024,11.12.00 AM,CNR5374902489,Canceled by Driver,CID735691,Prime Plus,Bannerghatta Road,Sarjapur Road,NA,NA,NA,Personal & Car related issue,NA,NA,344,NA,0,0,0
01-07-2024,7.19.00 PM,CNR5030602354,Driver Not Found,CID999840,Mini,Chamarajpet,Peenya,NA,NA,NA,NA,NA,NA,839,NA,0,0,0
18-07-2024,1.31.00 AM,CNR6328453219,Canceled by Driver,CID907133,Auto,RT Nagar,Varthur,NA,NA,NA,Personal & Car related issue,NA,NA,893,NA,0,0,0
29-07-2024,11.33.00 PM,CNR4787583516,Success,CID923404,Prime Plus,Hosur Road,Jayanagar,35,55,NA,NA,No,NA,164,Cash,46,4.5,3.4
26-07-2024,4.03.00 AM,CNR7943634301,Success,CID647026,Prime Plus,Kammanahalli,Rajajinagar,238,95,NA,NA,No,NA,399,Cash,18,3.9,4.4
27-07-2024,1.18.00 PM,CNR4524472111,Success,CID540929,Auto,Cox Town,Yelahanka,126,35,NA,NA,No,NA,330,UPI,8,3,4.8
17-07-2024,6.55.00 PM,CNR3914552212,Canceled by Driver,CID557845,Auto,Hosur Road,Banashankari,NA,NA,NA,Personal & Car related issue,NA,NA,427,NA,0,0,0
16-07-2024,9.54.00 AM,CNR8181602032,Success,CID167642,Bike,Indiranagar,MG Road,70,95,NA,NA,No,NA,378,UPI,18,4.8,4.1
02-07-2024,10.25.00 AM,CNR8090918544,Success,CID640151,Bike,Magadi Road,HSR Layout,126,95,NA,NA,No,NA,343,UPI,23,3.7,3.6
02-07-2024,11.50.00 PM,CNR3211335290,Driver Not Found,CID630354,Mini,Ramamurthy Nagar,BTM Layout,NA,NA,NA,NA,NA,NA,366,NA,0,0,0
05-07-2024,11.42.00 PM,CNR3196156650,Success,CID243275,Bike,Electronic City,Langford Town,140,40,NA,NA,No,NA,401,Cash,8,3.3,3.9
